; reduction-grid 1048576 1073741824, Thu Aug 23 17:13:12 2018
index,dev_id,dev_name,dev_CC,dev_memClock,dev_clock,n,numSMs,blocks_i,blocks_i/numSMs,blocks_n,TBlocksize,TRuns,min_time,max_throughput
   0, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 160, 2, 8192, 64, 5, 0.017056 ms, 245.914 GB/s
   1, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 320, 4, 8192, 64, 5, 0.015808 ms, 265.328 GB/s
   2, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 640, 8, 8192, 64, 5, 0.014624 ms, 286.81 GB/s
   3, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 1280, 16, 8192, 64, 5, 0.015904 ms, 263.726 GB/s
   4, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 2560, 32, 8192, 64, 5, 0.017088 ms, 245.453 GB/s
   5, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 5120, 64, 8192, 64, 5, 0.023296 ms, 180.044 GB/s
   6, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 8192, 102, 8192, 64, 5, 0.030656 ms, 136.818 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 160, 2, 4096, 128, 5, 0.015296 ms, 274.209 GB/s
   1, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 320, 4, 4096, 128, 5, 0.014368 ms, 291.92 GB/s
   2, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 640, 8, 4096, 128, 5, 0.014784 ms, 283.706 GB/s
   3, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 1280, 16, 4096, 128, 5, 0.014848 ms, 282.483 GB/s
   4, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 2560, 32, 4096, 128, 5, 0.016544 ms, 253.524 GB/s
   5, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 4096, 51, 4096, 128, 5, 0.01968 ms, 213.125 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 160, 2, 2048, 256, 5, 0.014496 ms, 289.342 GB/s
   1, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 320, 4, 2048, 256, 5, 0.013984 ms, 299.936 GB/s
   2, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 640, 8, 2048, 256, 5, 0.014592 ms, 287.439 GB/s
   3, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 1280, 16, 2048, 256, 5, 0.014912 ms, 281.27 GB/s
   4, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 2048, 25, 2048, 256, 5, 0.017152 ms, 244.537 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 160, 2, 1024, 512, 5, 0.014272 ms, 293.883 GB/s
   1, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 320, 4, 1024, 512, 5, 0.014112 ms, 297.215 GB/s
   2, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 640, 8, 1024, 512, 5, 0.015648 ms, 268.041 GB/s
   3, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 1024, 12, 1024, 512, 5, 0.016448 ms, 255.004 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 160, 2, 512, 1024, 5, 0.014784 ms, 283.706 GB/s
   1, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 320, 4, 512, 1024, 5, 0.015904 ms, 263.726 GB/s
