; reduction-mono 1048576 1073741824, Thu Aug 23 17:11:13 2018
index,dev_id,dev_name,dev_CC,dev_memClock,dev_clock,n,numSMs,blocks_i,blocks_i/numSMs,blocks_n,TBlocksize,TRuns,min_time,max_throughput
   0, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 8192, 102, 8192, 64, 5, 0.03088 ms, 135.826 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 4096, 51, 4096, 128, 5, 0.02368 ms, 177.124 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 2048, 25, 2048, 256, 5, 0.02352 ms, 178.329 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 1024, 12, 1024, 512, 5, 0.024512 ms, 171.112 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 512, 6, 512, 1024, 5, 0.026656 ms, 157.349 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 2097152, 80, 16384, 204, 16384, 64, 5, 0.044448 ms, 188.729 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 2097152, 80, 8192, 102, 8192, 128, 5, 0.033024 ms, 254.016 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 2097152, 80, 4096, 51, 4096, 256, 5, 0.033312 ms, 251.819 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 2097152, 80, 2048, 25, 2048, 512, 5, 0.033056 ms, 253.77 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 2097152, 80, 1024, 12, 1024, 1024, 5, 0.036576 ms, 229.347 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 32768, 409, 32768, 64, 5, 0.07072 ms, 237.234 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 16384, 204, 16384, 128, 5, 0.048256 ms, 347.671 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 8192, 102, 8192, 256, 5, 0.045984 ms, 364.849 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 4096, 51, 4096, 512, 5, 0.047968 ms, 349.758 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 2048, 25, 2048, 1024, 5, 0.054144 ms, 309.863 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 8388608, 80, 65536, 819, 65536, 64, 5, 0.124352 ms, 269.834 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 8388608, 80, 32768, 409, 32768, 128, 5, 0.08336 ms, 402.524 GB/s
