; saxpy-grid 1048576 1073741824, Thu Aug 23 16:36:13 2018
index,dev_id,dev_name,dev_CC,dev_memClock,dev_clock,n,numSMs,blocks_i,blocks_i/numSMs,blocks_n,TBlocksize,TRuns,min_time,max_throughput
   0, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 160, 2, 16384, 64, 5, 0.06224 ms, 202.168 GB/s
   1, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 320, 4, 16384, 64, 5, 0.041952 ms, 299.936 GB/s
   2, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 640, 8, 16384, 64, 5, 0.030464 ms, 413.042 GB/s
   3, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 1280, 16, 16384, 64, 5, 0.0264 ms, 476.625 GB/s
   4, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 2560, 32, 16384, 64, 5, 0.023168 ms, 543.116 GB/s
   5, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 5120, 64, 16384, 64, 5, 0.022752 ms, 553.046 GB/s
   6, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 10240, 128, 16384, 64, 5, 0.02512 ms, 500.912 GB/s
   7, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 16384, 204, 16384, 64, 5, 0.034272 ms, 367.148 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 160, 2, 8192, 128, 5, 0.040224 ms, 312.821 GB/s
   1, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 320, 4, 8192, 128, 5, 0.029856 ms, 421.453 GB/s
   2, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 640, 8, 8192, 128, 5, 0.025024 ms, 502.834 GB/s
   3, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 1280, 16, 8192, 128, 5, 0.02272 ms, 553.825 GB/s
   4, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 2560, 32, 8192, 128, 5, 0.021568 ms, 583.407 GB/s
   5, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 5120, 64, 8192, 128, 5, 0.020576 ms, 611.533 GB/s
   6, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 8192, 102, 8192, 128, 5, 0.023072 ms, 545.376 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 160, 2, 4096, 256, 5, 0.030144 ms, 417.427 GB/s
   1, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 320, 4, 4096, 256, 5, 0.025056 ms, 502.192 GB/s
   2, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 640, 8, 4096, 256, 5, 0.022848 ms, 550.723 GB/s
   3, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 1280, 16, 4096, 256, 5, 0.021856 ms, 575.719 GB/s
   4, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 2560, 32, 4096, 256, 5, 0.020416 ms, 616.326 GB/s
   5, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 4096, 51, 4096, 256, 5, 0.022752 ms, 553.046 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 160, 2, 2048, 512, 5, 0.025472 ms, 493.99 GB/s
   1, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 320, 4, 2048, 512, 5, 0.022624 ms, 556.175 GB/s
   2, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 640, 8, 2048, 512, 5, 0.021696 ms, 579.965 GB/s
   3, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 1280, 16, 2048, 512, 5, 0.021088 ms, 596.686 GB/s
   4, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 2048, 25, 2048, 512, 5, 0.022752 ms, 553.046 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 160, 2, 1024, 1024, 5, 0.02288 ms, 549.952 GB/s
   1, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 320, 4, 1024, 1024, 5, 0.022112 ms, 569.054 GB/s
   2, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 640, 8, 1024, 1024, 5, 0.020768 ms, 605.88 GB/s
   3, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 1024, 12, 1024, 1024, 5, 0.022528 ms, 558.545 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 2097152, 80, 160, 2, 32768, 64, 5, 0.116832 ms, 215.402 GB/s
   1, 0, Quadro GV100, 7.0, 850, 1327, 2097152, 80, 320, 4, 32768, 64, 5, 0.076352 ms, 329.603 GB/s
