; saxpy-mono 1048576 1073741824, Thu Aug 23 16:30:03 2018
index,dev_id,dev_name,dev_CC,dev_memClock,dev_clock,n,numSMs,blocks_i,blocks_i/numSMs,blocks_n,TBlocksize,TRuns,min_time,max_throughput
   0, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 16384, 204, 16384, 64, 5, 0.035264 ms, 356.82 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 8192, 102, 8192, 128, 5, 0.02416 ms, 520.816 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 4096, 51, 4096, 256, 5, 0.023456 ms, 536.447 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 2048, 25, 2048, 512, 5, 0.02288 ms, 549.952 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 1048576, 80, 1024, 12, 1024, 1024, 5, 0.022656 ms, 555.39 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 2097152, 80, 32768, 409, 32768, 64, 5, 0.060256 ms, 417.648 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 2097152, 80, 16384, 204, 16384, 128, 5, 0.050272 ms, 500.593 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 2097152, 80, 8192, 102, 8192, 256, 5, 0.05024 ms, 500.912 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 2097152, 80, 4096, 51, 4096, 512, 5, 0.049888 ms, 504.446 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 2097152, 80, 2048, 25, 2048, 1024, 5, 0.049664 ms, 506.722 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 65536, 819, 65536, 64, 5, 0.114496 ms, 439.593 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 32768, 409, 32768, 128, 5, 0.090656 ms, 555.194 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 16384, 204, 16384, 256, 5, 0.091456 ms, 550.337 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 8192, 102, 8192, 512, 5, 0.09152 ms, 549.952 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 4096, 51, 4096, 1024, 5, 0.0912 ms, 551.882 GB/s
