; saxpy-grid 1048576 1073741824, Thu Mar 15 08:11:18 2018
index,dev_id,dev_name,dev_CC,dev_memClock,dev_clock,n,numSMs,blocks_i,blocks_i/numSMs,blocks_n,TBlocksize,TRuns,min_time,max_throughput
   0, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 26, 2, 16384, 64, 5, 0.315392 ms, 39.8961 GB/s
   1, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 52, 4, 16384, 64, 5, 0.174816 ms, 71.978 GB/s
   2, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 104, 8, 16384, 64, 5, 0.113696 ms, 110.672 GB/s
   3, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 208, 16, 16384, 64, 5, 0.092672 ms, 135.779 GB/s
   4, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 416, 32, 16384, 64, 5, 0.092992 ms, 135.312 GB/s
   5, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 832, 64, 16384, 64, 5, 0.094528 ms, 133.113 GB/s
   6, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 1664, 128, 16384, 64, 5, 0.095488 ms, 131.775 GB/s
   7, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 3328, 256, 16384, 64, 5, 0.095872 ms, 131.247 GB/s
   8, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 6656, 512, 16384, 64, 5, 0.09376 ms, 134.203 GB/s
   9, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 13312, 1024, 16384, 64, 5, 0.0984 ms, 127.875 GB/s
  10, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 16384, 1260, 16384, 64, 5, 0.099712 ms, 126.193 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 26, 2, 8192, 128, 5, 0.176704 ms, 71.209 GB/s
   1, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 52, 4, 8192, 128, 5, 0.114624 ms, 109.776 GB/s
   2, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 104, 8, 8192, 128, 5, 0.092288 ms, 136.344 GB/s
   3, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 208, 16, 8192, 128, 5, 0.086912 ms, 144.778 GB/s
   4, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 416, 32, 8192, 128, 5, 0.08768 ms, 143.509 GB/s
   5, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 832, 64, 8192, 128, 5, 0.087712 ms, 143.457 GB/s
   6, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 1664, 128, 8192, 128, 5, 0.087776 ms, 143.353 GB/s
   7, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 3328, 256, 8192, 128, 5, 0.086592 ms, 145.313 GB/s
   8, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 6656, 512, 8192, 128, 5, 0.085024 ms, 147.992 GB/s
   9, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 8192, 630, 8192, 128, 5, 0.086592 ms, 145.313 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 26, 2, 4096, 256, 5, 0.113792 ms, 110.578 GB/s
   1, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 52, 4, 4096, 256, 5, 0.092256 ms, 136.391 GB/s
   2, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 104, 8, 4096, 256, 5, 0.08672 ms, 145.098 GB/s
   3, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 208, 16, 4096, 256, 5, 0.086912 ms, 144.778 GB/s
   4, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 416, 32, 4096, 256, 5, 0.08736 ms, 144.035 GB/s
   5, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 832, 64, 4096, 256, 5, 0.085408 ms, 147.327 GB/s
   6, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 1664, 128, 4096, 256, 5, 0.084736 ms, 148.495 GB/s
   7, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 3328, 256, 4096, 256, 5, 0.085728 ms, 146.777 GB/s
   8, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 4096, 315, 4096, 256, 5, 0.08624 ms, 145.906 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 26, 2, 2048, 512, 5, 0.094656 ms, 132.933 GB/s
   1, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 52, 4, 2048, 512, 5, 0.0856 ms, 146.997 GB/s
   2, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 104, 8, 2048, 512, 5, 0.087712 ms, 143.457 GB/s
   3, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 208, 16, 2048, 512, 5, 0.086528 ms, 145.42 GB/s
   4, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 416, 32, 2048, 512, 5, 0.086144 ms, 146.068 GB/s
   5, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 832, 64, 2048, 512, 5, 0.085376 ms, 147.382 GB/s
   6, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 1664, 128, 2048, 512, 5, 0.087392 ms, 143.982 GB/s
   7, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 2048, 157, 2048, 512, 5, 0.087872 ms, 143.196 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 26, 2, 1024, 1024, 5, 0.085216 ms, 147.659 GB/s
   1, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 52, 4, 1024, 1024, 5, 0.087328 ms, 144.088 GB/s
   2, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 104, 8, 1024, 1024, 5, 0.085632 ms, 146.942 GB/s
   3, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 208, 16, 1024, 1024, 5, 0.08656 ms, 145.366 GB/s
   4, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 416, 32, 1024, 1024, 5, 0.087744 ms, 143.405 GB/s
   5, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 832, 64, 1024, 1024, 5, 0.08608 ms, 146.177 GB/s
   6, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 1024, 78, 1024, 1024, 5, 0.088288 ms, 142.521 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 26, 2, 32768, 64, 5, 0.619264 ms, 40.6383 GB/s
   1, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 52, 4, 32768, 64, 5, 0.33952 ms, 74.1218 GB/s
   2, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 104, 8, 32768, 64, 5, 0.215392 ms, 116.837 GB/s
   3, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 208, 16, 32768, 64, 5, 0.175808 ms, 143.144 GB/s
   4, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 416, 32, 32768, 64, 5, 0.177536 ms, 141.751 GB/s
   5, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 832, 64, 32768, 64, 5, 0.179488 ms, 140.209 GB/s
   6, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 1664, 128, 32768, 64, 5, 0.179264 ms, 140.384 GB/s
   7, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 3328, 256, 32768, 64, 5, 0.1816 ms, 138.578 GB/s
   8, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 6656, 512, 32768, 64, 5, 0.180192 ms, 139.661 GB/s
   9, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 13312, 1024, 32768, 64, 5, 0.179232 ms, 140.409 GB/s
  10, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 26624, 2048, 32768, 64, 5, 0.186176 ms, 135.172 GB/s
  11, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 32768, 2520, 32768, 64, 5, 0.1912 ms, 131.62 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 26, 2, 16384, 128, 5, 0.34016 ms, 73.9823 GB/s
   1, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 52, 4, 16384, 128, 5, 0.212512 ms, 118.421 GB/s
   2, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 104, 8, 16384, 128, 5, 0.177088 ms, 142.109 GB/s
   3, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 208, 16, 16384, 128, 5, 0.160864 ms, 156.442 GB/s
   4, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 416, 32, 16384, 128, 5, 0.164864 ms, 152.646 GB/s
   5, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 832, 64, 16384, 128, 5, 0.161536 ms, 155.791 GB/s
   6, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 1664, 128, 16384, 128, 5, 0.164352 ms, 153.121 GB/s
   7, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 3328, 256, 16384, 128, 5, 0.164384 ms, 153.092 GB/s
   8, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 6656, 512, 16384, 128, 5, 0.161824 ms, 155.514 GB/s
   9, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 13312, 1024, 16384, 128, 5, 0.159744 ms, 157.538 GB/s
