; reduction-cub 1048576 1073741824, Wed Sep 12 21:39:27 2018
index,dev_id,dev_name,dev_CC,dev_memClock,dev_clock,n,numSMs,blocks_i,blocks_i/numSMs,blocks_n,TBlocksize,TRuns,min_time,max_throughput
   0, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 2, 0, 2, 256, 5, 0.048224 ms, 86.9754 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 2, 0, 2, 256, 5, 0.071456 ms, 117.395 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 4194304, 13, 2, 0, 2, 256, 5, 0.116608 ms, 143.877 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 8388608, 13, 2, 0, 2, 256, 5, 0.210944 ms, 159.068 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 16777216, 13, 2, 0, 2, 256, 5, 0.39728 ms, 168.921 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 33554432, 13, 2, 0, 2, 256, 5, 0.780576 ms, 171.947 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 67108864, 13, 2, 0, 2, 256, 5, 1.53891 ms, 174.432 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 134217728, 13, 2, 0, 2, 256, 5, 3.07725 ms, 174.465 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 268435456, 13, 2, 0, 2, 256, 5, 6.11414 ms, 175.616 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 536870912, 13, 2, 0, 2, 256, 5, 12.2216 ms, 175.712 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 1073741824, 13, 2, 0, 2, 256, 5, 24.4825 ms, 175.43 GB/s
