; reduction-grid 1048576 1073741824, Wed Sep 12 21:31:00 2018
index,dev_id,dev_name,dev_CC,dev_memClock,dev_clock,n,numSMs,blocks_i,blocks_i/numSMs,blocks_n,TBlocksize,TRuns,min_time,max_throughput
   0, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 26, 2, 8192, 64, 5, 0.105344 ms, 39.8153 GB/s
   1, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 52, 4, 8192, 64, 5, 0.064768 ms, 64.7589 GB/s
   2, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 104, 8, 8192, 64, 5, 0.04912 ms, 85.3889 GB/s
   3, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 208, 16, 8192, 64, 5, 0.044064 ms, 95.1866 GB/s
   4, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 416, 32, 8192, 64, 5, 0.047424 ms, 88.4426 GB/s
   5, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 832, 64, 8192, 64, 5, 0.047328 ms, 88.622 GB/s
   6, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 1664, 128, 8192, 64, 5, 0.051072 ms, 82.1253 GB/s
   7, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 3328, 256, 8192, 64, 5, 0.060352 ms, 69.4973 GB/s
   8, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 6656, 512, 8192, 64, 5, 0.093664 ms, 44.7803 GB/s
   9, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 8192, 630, 8192, 64, 5, 0.104 ms, 40.3298 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 26, 2, 4096, 128, 5, 0.065792 ms, 63.751 GB/s
   1, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 52, 4, 4096, 128, 5, 0.049728 ms, 84.3449 GB/s
   2, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 104, 8, 4096, 128, 5, 0.044224 ms, 94.8423 GB/s
