; reduction-mono 1048576 1073741824, Wed Sep 12 21:29:50 2018
index,dev_id,dev_name,dev_CC,dev_memClock,dev_clock,n,numSMs,blocks_i,blocks_i/numSMs,blocks_n,TBlocksize,TRuns,min_time,max_throughput
   0, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 8192, 630, 8192, 64, 5, 0.099648 ms, 42.0912 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 4096, 315, 4096, 128, 5, 0.0768 ms, 54.6133 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 2048, 157, 2048, 256, 5, 0.081888 ms, 51.22 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 1024, 78, 1024, 512, 5, 0.090176 ms, 46.5124 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 512, 39, 512, 1024, 5, 0.102528 ms, 40.9089 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 16384, 1260, 16384, 64, 5, 0.174464 ms, 48.0822 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 8192, 630, 8192, 128, 5, 0.128416 ms, 65.3237 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 4096, 315, 4096, 256, 5, 0.139776 ms, 60.0146 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 2048, 157, 2048, 512, 5, 0.152288 ms, 55.0838 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 1024, 78, 1024, 1024, 5, 0.17888 ms, 46.8952 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 4194304, 13, 32768, 2520, 32768, 64, 5, 0.323616 ms, 51.843 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 4194304, 13, 16384, 1260, 16384, 128, 5, 0.232096 ms, 72.2857 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 4194304, 13, 8192, 630, 8192, 256, 5, 0.256384 ms, 65.4378 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 4194304, 13, 4096, 315, 4096, 512, 5, 0.284576 ms, 58.9551 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 4194304, 13, 2048, 157, 2048, 1024, 5, 0.33376 ms, 50.2673 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 8388608, 13, 65536, 5041, 65536, 64, 5, 0.625376 ms, 53.6548 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 8388608, 13, 32768, 2520, 32768, 128, 5, 0.443552 ms, 75.6494 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 8388608, 13, 16384, 1260, 16384, 256, 5, 0.48592 ms, 69.0534 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 8388608, 13, 8192, 630, 8192, 512, 5, 0.543872 ms, 61.6955 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 8388608, 13, 4096, 315, 4096, 1024, 5, 0.643712 ms, 52.1265 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 16777216, 13, 131072, 10082, 131072, 64, 5, 1.22662 ms, 54.7102 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 16777216, 13, 65536, 5041, 65536, 128, 5, 0.861504 ms, 77.8973 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 16777216, 13, 32768, 2520, 32768, 256, 5, 0.94784 ms, 70.8019 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 16777216, 13, 16384, 1260, 16384, 512, 5, 1.05955 ms, 63.337 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 16777216, 13, 8192, 630, 8192, 1024, 5, 1.26234 ms, 53.1624 GB/s
