; saxpy-grid 1048576 1073741824, Wed Sep 12 21:20:49 2018
index,dev_id,dev_name,dev_CC,dev_memClock,dev_clock,n,numSMs,blocks_i,blocks_i/numSMs,blocks_n,TBlocksize,TRuns,min_time,max_throughput
   0, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 26, 2, 16384, 64, 5, 0.316128 ms, 39.8032 GB/s
   1, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 52, 4, 16384, 64, 5, 0.17824 ms, 70.5953 GB/s
   2, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 104, 8, 16384, 64, 5, 0.11424 ms, 110.145 GB/s
   3, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 208, 16, 16384, 64, 5, 0.092544 ms, 135.967 GB/s
   4, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 416, 32, 16384, 64, 5, 0.09648 ms, 130.42 GB/s
   5, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 832, 64, 16384, 64, 5, 0.095232 ms, 132.129 GB/s
   6, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 1664, 128, 16384, 64, 5, 0.095648 ms, 131.554 GB/s
   7, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 3328, 256, 16384, 64, 5, 0.095968 ms, 131.116 GB/s
   8, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 6656, 512, 16384, 64, 5, 0.094784 ms, 132.754 GB/s
   9, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 13312, 1024, 16384, 64, 5, 0.097696 ms, 128.797 GB/s
  10, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 16384, 1260, 16384, 64, 5, 0.100928 ms, 124.672 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 26, 2, 8192, 128, 5, 0.17808 ms, 70.6588 GB/s
   1, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 52, 4, 8192, 128, 5, 0.116384 ms, 108.115 GB/s
   2, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 104, 8, 8192, 128, 5, 0.09296 ms, 135.358 GB/s
   3, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 208, 16, 8192, 128, 5, 0.085856 ms, 146.558 GB/s
   4, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 416, 32, 8192, 128, 5, 0.086848 ms, 144.884 GB/s
   5, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 832, 64, 8192, 128, 5, 0.08816 ms, 142.728 GB/s
   6, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 1664, 128, 8192, 128, 5, 0.0872 ms, 144.299 GB/s
   7, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 3328, 256, 8192, 128, 5, 0.08784 ms, 143.248 GB/s
   8, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 6656, 512, 8192, 128, 5, 0.084736 ms, 148.495 GB/s
   9, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 8192, 630, 8192, 128, 5, 0.085184 ms, 147.714 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 26, 2, 4096, 256, 5, 0.116288 ms, 108.205 GB/s
   1, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 52, 4, 4096, 256, 5, 0.092416 ms, 136.155 GB/s
   2, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 104, 8, 4096, 256, 5, 0.086368 ms, 145.69 GB/s
   3, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 208, 16, 4096, 256, 5, 0.087008 ms, 144.618 GB/s
