; saxpy-mono 1048576 1073741824, Wed Sep 12 21:18:39 2018
index,dev_id,dev_name,dev_CC,dev_memClock,dev_clock,n,numSMs,blocks_i,blocks_i/numSMs,blocks_n,TBlocksize,TRuns,min_time,max_throughput
   0, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 16384, 1260, 16384, 64, 5, 0.099616 ms, 126.314 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 8192, 630, 8192, 128, 5, 0.0872 ms, 144.299 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 4096, 315, 4096, 256, 5, 0.087744 ms, 143.405 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 2048, 157, 2048, 512, 5, 0.086464 ms, 145.528 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 1024, 78, 1024, 1024, 5, 0.088384 ms, 142.366 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 32768, 2520, 32768, 64, 5, 0.187712 ms, 134.066 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 16384, 1260, 16384, 128, 5, 0.159488 ms, 157.791 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 8192, 630, 8192, 256, 5, 0.16016 ms, 157.129 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 4096, 315, 4096, 512, 5, 0.163104 ms, 154.293 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 2048, 157, 2048, 1024, 5, 0.164672 ms, 152.824 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 4194304, 13, 65536, 5041, 65536, 64, 5, 0.36208 ms, 139.007 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 4194304, 13, 32768, 2520, 32768, 128, 5, 0.307136 ms, 163.874 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 4194304, 13, 16384, 1260, 16384, 256, 5, 0.3112 ms, 161.734 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 4194304, 13, 8192, 630, 8192, 512, 5, 0.31472 ms, 159.925 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 4194304, 13, 4096, 315, 4096, 1024, 5, 0.317536 ms, 158.507 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 8388608, 13, 131072, 10082, 131072, 64, 5, 0.722048 ms, 139.414 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 8388608, 13, 65536, 5041, 65536, 128, 5, 0.609312 ms, 165.208 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 8388608, 13, 32768, 2520, 32768, 256, 5, 0.61392 ms, 163.968 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 8388608, 13, 16384, 1260, 16384, 512, 5, 0.62352 ms, 161.444 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 8388608, 13, 8192, 630, 8192, 1024, 5, 0.62928 ms, 159.966 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 16777216, 13, 262144, 20164, 262144, 64, 5, 1.41958 ms, 141.821 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 16777216, 13, 131072, 10082, 131072, 128, 5, 1.19802 ms, 168.05 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 16777216, 13, 65536, 5041, 65536, 256, 5, 1.20829 ms, 166.621 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 16777216, 13, 32768, 2520, 32768, 512, 5, 1.22448 ms, 164.418 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 16777216, 13, 16384, 1260, 16384, 1024, 5, 1.2385 ms, 162.557 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 33554432, 13, 524288, 40329, 524288, 64, 5, 2.81757 ms, 142.908 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 33554432, 13, 262144, 20164, 262144, 128, 5, 2.36995 ms, 169.899 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 33554432, 13, 131072, 10082, 131072, 256, 5, 2.39286 ms, 168.272 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 33554432, 13, 65536, 5041, 65536, 512, 5, 2.4239 ms, 166.118 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 33554432, 13, 32768, 2520, 32768, 1024, 5, 2.45606 ms, 163.942 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 67108864, 13, 1048576, 80659, 1048576, 64, 5, 5.63053 ms, 143.025 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 67108864, 13, 524288, 40329, 524288, 128, 5, 4.72064 ms, 170.593 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 67108864, 13, 262144, 20164, 262144, 256, 5, 4.76102 ms, 169.146 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 67108864, 13, 131072, 10082, 131072, 512, 5, 4.83597 ms, 166.524 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 67108864, 13, 65536, 5041, 65536, 1024, 5, 4.89888 ms, 164.386 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 134217728, 13, 2097152, 161319, 2097152, 64, 5, 11.1968 ms, 143.845 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 134217728, 13, 1048576, 80659, 1048576, 128, 5, 9.43462 ms, 170.713 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 134217728, 13, 524288, 40329, 524288, 256, 5, 9.52189 m
