; reduction-grid 1048576 1073741824, Thu Aug 23 17:13:51 2018
index,dev_id,dev_name,dev_CC,dev_memClock,dev_clock,n,numSMs,blocks_i,blocks_i/numSMs,blocks_n,TBlocksize,TRuns,min_time,max_throughput
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1048576, 56, 112, 2, 8192, 64, 5, 0.020704 ms, 202.584 GB/s
   1, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1048576, 56, 224, 4, 8192, 64, 5, 0.016 ms, 262.144 GB/s
   2, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1048576, 56, 448, 8, 8192, 64, 5, 0.014208 ms, 295.207 GB/s
   3, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1048576, 56, 896, 16, 8192, 64, 5, 0.014592 ms, 287.439 GB/s
   4, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1048576, 56, 1792, 32, 8192, 64, 5, 0.01744 ms, 240.499 GB/s
   5, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1048576, 56, 3584, 64, 8192, 64, 5, 0.022368 ms, 187.514 GB/s
   6, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1048576, 56, 7168, 128, 8192, 64, 5, 0.033568 ms, 124.949 GB/s
   7, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1048576, 56, 8192, 146, 8192, 64, 5, 0.036224 ms, 115.788 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1048576, 56, 112, 2, 4096, 128, 5, 0.015424 ms, 271.934 GB/s
   1, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1048576, 56, 224, 4, 4096, 128, 5, 0.014368 ms, 291.92 GB/s
   2, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1048576, 56, 448, 8, 4096, 128, 5, 0.014912 ms, 281.27 GB/s
   3, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1048576, 56, 896, 16, 4096, 128, 5, 0.016064 ms, 261.1 GB/s
   4, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1048576, 56, 1792, 32, 4096, 128, 5, 0.02032 ms, 206.413 GB/s
   5, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1048576, 56, 3584, 64, 4096, 128, 5, 0.028672 ms, 146.286 GB/s
   6, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1048576, 56, 4096, 73, 4096, 128, 5, 0.03072 ms, 136.533 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1048576, 56, 112, 2, 2048, 256, 5, 0.014976 ms, 280.068 GB/s
   1, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1048576, 56, 224, 4, 2048, 256, 5, 0.014048 ms, 298.569 GB/s
   2, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1048576, 56, 448, 8, 2048, 256, 5, 0.015488 ms, 270.81 GB/s
   3, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1048576, 56, 896, 16, 2048, 256, 5, 0.020032 ms, 209.38 GB/s
