; saxpy-grid 1048576 1073741824, Thu Aug 23 16:47:35 2018
index,dev_id,dev_name,dev_CC,dev_memClock,dev_clock,n,numSMs,blocks_i,blocks_i/numSMs,blocks_n,TBlocksize,TRuns,min_time,max_throughput
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1048576, 56, 112, 2, 16384, 64, 5, 0.08816 ms, 142.728 GB/s
   1, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1048576, 56, 224, 4, 16384, 64, 5, 0.054048 ms, 232.81 GB/s
   2, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1048576, 56, 448, 8, 16384, 64, 5, 0.037312 ms, 337.235 GB/s
   3, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1048576, 56, 896, 16, 16384, 64, 5, 0.031168 ms, 403.713 GB/s
   4, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1048576, 56, 1792, 32, 16384, 64, 5, 0.030656 ms, 410.455 GB/s
   5, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1048576, 56, 3584, 64, 16384, 64, 5, 0.028992 ms, 434.013 GB/s
   6, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1048576, 56, 7168, 128, 16384, 64, 5, 0.028672 ms, 438.857 GB/s
   7, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1048576, 56, 14336, 256, 16384, 64, 5, 0.03536 ms, 355.852 GB/s
   8, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1048576, 56, 16384, 292, 16384, 64, 5, 0.038144 ms, 329.879 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1048576, 56, 112, 2, 8192, 128, 5, 0.054144 ms, 232.397 GB/s
   1, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1048576, 56, 224, 4, 8192, 128, 5, 0.0376 ms, 334.652 GB/s
   2, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1048576, 56, 448, 8, 8192, 128, 5, 0.031168 ms, 403.713 GB/s
   3, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1048576, 56, 896, 16, 8192, 128, 5, 0.03024 ms, 416.102 GB/s
