; reduction-grid 1048576 1073741824, Thu Aug 23 17:14:32 2018
index,dev_id,dev_name,dev_CC,dev_memClock,dev_clock,n,numSMs,blocks_i,blocks_i/numSMs,blocks_n,TBlocksize,TRuns,min_time,max_throughput
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 160, 2, 8192, 64, 5, 0.015392 ms, 272.499 GB/s
   1, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 320, 4, 8192, 64, 5, 0.013184 ms, 318.136 GB/s
   2, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 640, 8, 8192, 64, 5, 0.01264 ms, 331.828 GB/s
   3, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 1280, 16, 8192, 64, 5, 0.013664 ms, 306.96 GB/s
   4, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 2560, 32, 8192, 64, 5, 0.016576 ms, 253.035 GB/s
   5, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 5120, 64, 8192, 64, 5, 0.022688 ms, 184.869 GB/s
   6, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 8192, 102, 8192, 64, 5, 0.030432 ms, 137.825 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 160, 2, 4096, 128, 5, 0.013056 ms, 321.255 GB/s
   1, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 320, 4, 4096, 128, 5, 0.011904 ms, 352.344 GB/s
   2, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 640, 8, 4096, 128, 5, 0.011904 ms, 352.344 GB/s
   3, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 1280, 16, 4096, 128, 5, 0.012864 ms, 326.05 GB/s
   4, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 2560, 32, 4096, 128, 5, 0.015872 ms, 264.258 GB/s
   5, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 4096, 51, 4096, 128, 5, 0.0184 ms, 227.951 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 160, 2, 2048, 256, 5, 0.017536 ms, 239.182 GB/s
   1, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 320, 4, 2048, 256, 5, 0.01664 ms, 252.062 GB/s
   2, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 640, 8, 2048, 256, 5, 0.01712 ms, 244.994 GB/s
   3, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 1280, 16, 2048, 256, 5, 0.016672 ms, 251.578 GB/s
   4, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 2048, 25, 2048, 256, 5, 0.018976 ms, 221.032 GB/s
