; saxpy-grid 1048576 1073741824, Thu Aug 23 16:59:51 2018
index,dev_id,dev_name,dev_CC,dev_memClock,dev_clock,n,numSMs,blocks_i,blocks_i/numSMs,blocks_n,TBlocksize,TRuns,min_time,max_throughput
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 160, 2, 16384, 64, 5, 0.057216 ms, 219.919 GB/s
   1, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 320, 4, 16384, 64, 5, 0.037024 ms, 339.858 GB/s
   2, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 640, 8, 16384, 64, 5, 0.027168 ms, 463.152 GB/s
   3, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 1280, 16, 16384, 64, 5, 0.023264 ms, 540.875 GB/s
   4, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 2560, 32, 16384, 64, 5, 0.020992 ms, 599.415 GB/s
   5, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 5120, 64, 16384, 64, 5, 0.020448 ms, 615.362 GB/s
   6, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 10240, 128, 16384, 64, 5, 0.026272 ms, 478.948 GB/s
   7, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 16384, 204, 16384, 64, 5, 0.03616 ms, 347.979 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 160, 2, 8192, 128, 5, 0.035616 ms, 353.294 GB/s
   1, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 320, 4, 8192, 128, 5, 0.025504 ms, 493.37 GB/s
   2, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 640, 8, 8192, 128, 5, 0.020256 ms, 621.194 GB/s
   3, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 1280, 16, 8192, 128, 5, 0.018464 ms, 681.484 GB/s
   4, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 2560, 32, 8192, 128, 5, 0.01696 ms, 741.917 GB/s
   5, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 5120, 64, 8192, 128, 5, 0.017184 ms, 732.246 GB/s
   6, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 8192, 102, 8192, 128, 5, 0.020864 ms, 603.092 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 160, 2, 4096, 256, 5, 0.025152 ms, 500.275 GB/s
   1, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 320, 4, 4096, 256, 5, 0.02048 ms, 614.4 GB/s
   2, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 640, 8, 4096, 256, 5, 0.018272 ms, 688.644 GB/s
   3, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 1280, 16, 4096, 256, 5, 0.01728 ms, 728.178 GB/s
   4, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 2560, 32, 4096, 256, 5, 0.01648 ms, 763.526 GB/s
   5, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 4096, 51, 4096, 256, 5, 0.018112 ms, 694.728 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 160, 2, 2048, 512, 5, 0.021024 ms, 598.502 GB/s
   1, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 320, 4, 2048, 512, 5, 0.018048 ms, 697.191 GB/s
   2, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 640, 8, 2048, 512, 5, 0.016992 ms, 740.52 GB/s
   3, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 1280, 16, 2048, 512, 5, 0.016544 ms, 760.573 GB/s
   4, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 2048, 25, 2048, 512, 5, 0.018048 ms, 697.191 GB/s
